@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA



3454,9404,7243,6987,4580,2472,15058,15833,Slika1
22619,20341,8091,8552,5792,2419,53579,30674,Slika1
33861,5659,15632,9022,10015,5519,143948,54728,Slika1
8709,19106,17350,37243,18501,12086,583116,30510,Slika1
82792,17264,15390,31844,42796,6830,493701,357136,Slika1
8438,1099,3341,706,1945,493,86349,18774,Slika1
12469,3368,3637,2703,3084,2249,307769,10799,Slika1
8993,12426,15356,15807,17973,12264,16217,12886,Slika1
8978,1845,17360,7304,7492,3760,829752,60870,Slika1
3500,5453,5537,1999,2348,807,85816,16176,Slika1
6332,7459,7989,1697,396,1291,216193,35075,Slika1
7845,17075,14659,12243,12621,1955,30528,27889,Slika1
7208,22420,11487,9551,2773,2063,20674,30166,Slika1
97814,16230,20262,18304,3070,3315,20673,31188,Slika1
11624,13593,9918,11341,7437,3037,5548,13120,Slika1
14515,12652,7205,9255,6555,2212,2220,24862,Slika1
15040,20773,14174,6930,4938,1188,13576,25539,Slika1
21223,2249,8430,8278,2488,1213,4145,47491,Slika1
32569,37146,19267,6556,7797,4155,192466,89709,Slika1
8303,4210,3860,4896,1153,6903,9721,27056,Slika1
11389,12720,15910,15993,3141,1530,12337,32549,Slika1
16831,18523,10123,7910,3167,1623,38351,6770,Slika1
18821,5831,33405,8444,3483,5143,1293,19232,Slika1
20853,9385,5675,6222,6822,3955,21705,19155,Slika1
7504,5921,6129,10552,5954,2508,44578,8802,Slika1
20462,4887,6927,4948,5509,4516,20249,8238,Slika1
3517,7844,10394,16423,5596,4797,19825,8094,Slika1
5176,1527,2782,5852,881,1740,101218,11034,Slika1
9982,12697,18812,10028,17661,6411,14578,12361,Slika1
2038,4598,13566,4478,5874,6808,2387,15381,Slika1
19141,4262,2016,5997,4019,4933,6255,3044,Slika1
5397,12677,6750,5792,9186,8540,57859,12036,Slika1
11786,9506,15479,13155,6337,2432,417473,46737,Slika1
5784,3341,1605,3295,2633,725,397986,14707,Slika1
22774,9586,4882,3239,3773,709,131378,42818,Slika1
30610,32373,16974,7809,8747,3170,571247,95271,Slika1
26328,18790,13534,8731,5452,2641,4874,19919,Slika1
2737,20129,13632,10232,5091,1592,116873,3345,Slika2
10385,5311,13909,5137,5030,1748,185678,32146,Slika2
3794,9616,17570,10214,5033,6630,253110,12212,Slika2
44282,36815,21097,15782,33427,5701,344307,64427,Slika2
24212,85063,23716,33438,26472,5469,99917,78865,Slika2
4505,17404,16504,23065,7954,8328,6755,11332,Slika2
14401,13955,23668,34606,33198,10985,43164,11891,Slika2
18022,23644,13452,18103,26436,9976,42160,28156,Slika2
74064,51962,15002,21884,14543,7992,149014,376072,Slika2
29576,12903,29093,17114,12604,21328,296211,335578,Slika2
