@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA



10498,3173,8620,7795,1985,2361,11703,22309,Slika1
31976,11813,8387,13992,3884,2753,51394,25967,Slika1
8528,4301,5820,7544,3474,3175,26022,13201,Slika1
793,2388,1122,2067,943,580,100119,33091,Slika1
1727,921,471,2976,915,994,39960,14787,Slika1
3555,7063,14817,8180,4300,3571,28048,32614,Slika1
1139,2794,2390,1824,1468,1091,58344,4060,Slika1
16711,6974,6188,8377,7893,3749,3301,5122,Slika1
3177,10147,5239,5605,9496,2985,280167,66229,Slika1
17277,9256,14597,7626,3184,2955,58872,56234,Slika1
3572,6428,5132,8243,2892,2669,2247,11178,Slika1
3408,2085,3960,4019,5288,5262,13859,19289,Slika1
5031,1917,8646,4370,5309,3412,157446,42168,Slika1
4224,1882,2929,4103,2073,2578,56344,47782,Slika1
4996,7601,2758,4029,2077,2061,36421,4548,Slika1
451,717,1076,2772,711,675,54562,11404,Slika1
22753,2502,8098,6943,3407,2052,210116,19170,Slika1
851,6023,3115,6968,2098,5673,81239,4804,Slika1
12683,8584,9920,7228,6751,6578,18945,16548,Slika1
420,623,2860,1490,2188,659,83770,30020,Slika1
17132,10961,6007,7372,6752,4491,34486,37101,Slika1
3297,10822,1604,3492,1388,1190,243360,11900,Slika1
15631,7213,5052,4055,3503,3694,128737,116284,Slika1
2450,17935,12424,6516,6959,2859,13213,19480,Slika1
8446,9910,9195,7680,3246,1327,360786,21053,Slika1
11127,9236,7360,16153,3312,3301,29211,7841,Slika1
6329,12999,1663,6132,2345,2579,33344,22267,Slika1
13683,2130,1825,908,1715,532,141006,28733,Slika1
6702,9530,6139,5107,3171,1369,12188,18594,Slika1
3327,4802,7886,5523,2921,1518,16734,8767,Slika1
4904,3843,6512,9150,4885,4133,34437,25256,Slika1
12275,25596,16893,6010,4069,2189,219964,71243,Slika1
6418,4258,11118,9713,6870,2418,40996,22204,Slika1
19859,1756,9743,9742,5884,3207,240439,127125,Slika1
4582,1997,1492,2962,3419,1068,60769,4235,Slika1
24201,4570,10311,4453,6696,6733,37251,31132,Slika1
1031,3413,509,1575,834,740,77105,1884,Slika1
34290,3245,2834,5405,1908,2427,38742,20384,Slika1
5088,4633,6480,5604,4504,4053,273656,66311,Slika1
25572,8283,7442,4442,9402,3387,25124,39688,Slika1
7735,5369,7928,9351,6201,3571,357193,57271,Slika1
4904,4908,3621,9209,6318,2851,7131,7668,Slika1
4294,4195,2229,3954,3330,4311,23733,9681,Slika1
18955,11706,4993,13744,2074,4850,3245,7167,Slika1
7786,16066,3797,3515,2810,3244,53634,24572,Slika1
14710,2002,6240,7847,3716,2776,94251,57493,Slika1
4881,668,1803,12754,3770,2169,12226,13439,Slika1
