@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {zaprte,racunam} 

@DATA



7116,8575,11950,5973,2808,1940,502545,38843,zaprte
8137,16269,7146,6676,1728,2557,15703,15473,zaprte
2606,21519,2224,4179,6821,2430,26736,9367,zaprte
10919,7548,6582,2428,2237,1477,71678,66245,zaprte
10112,11167,6088,3003,3028,1915,20035,11832,zaprte
17595,15470,4945,5492,1445,1612,29624,12553,zaprte
24620,12710,6997,5216,3090,2979,20370,12995,zaprte
11064,11969,9232,4555,3405,2661,5029,18759,zaprte
1216,20606,7793,9161,4178,1441,4124,20409,zaprte
16650,7697,5176,4149,3523,1947,27929,9832,zaprte
134703,39666,7213,4718,2793,3667,169143,116208,zaprte
16681,11632,13368,8347,3687,2864,607627,44098,racunam
14200,3610,3087,8578,3667,6546,91866,13073,racunam
14512,6787,10240,6927,5934,1854,38180,25929,racunam
73832,19246,8253,7962,8830,6813,162766,134455,racunam
3170,3537,7729,6621,3907,2598,4029,17408,racunam
6403,1992,2381,2219,1179,1710,94294,9180,racunam
9864,7008,5448,8377,6930,3964,15028,39548,racunam
5958,10797,4139,4407,2940,4944,33005,13738,racunam
11192,8020,3937,4992,4742,2897,29272,39091,racunam
16954,8695,4656,13995,4389,1991,49200,16150,racunam
2601,8382,10505,7041,4071,2981,12105,56242,racunam
21782,11039,11038,19202,3524,2027,190699,131475,racunam
8314,6018,2699,4197,2363,2414,15967,30583,racunam
6964,9901,3366,7983,4211,3804,2274,3828,racunam
26338,13217,4989,7788,3367,1393,203056,61087,racunam
13980,11563,9280,15490,6706,1998,13096,32942,racunam
2396,2592,1779,1730,1487,723,83817,27831,racunam
40163,8527,4968,10075,10108,5095,69650,84685,racunam
860,5742,595,995,1530,657,75590,15861,racunam
3704,8187,8212,4783,3797,1771,226123,84022,racunam
3365,23255,12384,11712,7371,4061,41390,76660,racunam
4266,30871,11364,13172,11778,7227,10987,3882,racunam
4104,9244,1335,1103,518,571,146554,11016,racunam
