@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {kitara,nic} 

@DATA


27052,12845,8970,17691,14390,10546,21233,8993,kitara
35982,15103,16315,12736,9201,6568,315691,45073,kitara
4200,9211,8576,12319,3683,19586,11954,8454,kitara
39103,9313,15716,18158,10330,5197,83075,83256,kitara
42393,2690,1028,9534,3602,9104,274491,121591,kitara
16813,3948,2090,12250,5153,2354,190465,23364,kitara
28883,8773,6748,12340,11646,6099,121194,27015,kitara
8727,15347,13262,7860,20424,27289,269555,29006,kitara
5663,25423,5416,5688,3596,1860,238186,138145,kitara
1925,2803,8423,17548,12599,11229,14639,39970,kitara
4081,8640,7739,7580,5733,3688,100526,30704,kitara
31878,6911,5893,16396,12041,7049,369355,169010,kitara
1801,5598,2834,4977,2429,3957,97931,19163,kitara
3422,5120,4838,10401,8350,11062,139945,14787,kitara
19869,34076,15124,13970,9995,4388,351067,40229,kitara
8154,10199,5861,3292,2602,2923,132497,29227,kitara
10719,22864,14714,31691,49682,8933,198585,68269,kitara
25007,7516,10572,27874,20718,8859,67262,38614,kitara
23725,22793,4864,9588,12036,8370,175713,62041,kitara
10290,7418,14582,6913,18541,6971,23566,14917,kitara
62915,7930,17073,12591,12862,8377,1236205,140237,kitara
13595,4893,11009,13319,5554,7371,9676,12613,kitara
14069,20761,11105,19586,5779,5148,48708,8511,kitara
19219,2947,8552,18998,14192,8215,12442,34220,kitara
58208,13113,19022,23069,17438,8968,522663,42656,kitara
10195,13635,15011,20493,21445,8162,373680,23732,kitara
16390,5108,3633,6390,5720,2785,111681,58910,kitara
20339,7297,5941,16313,21881,9385,445762,87371,kitara
18489,13998,8595,18218,11525,6278,130996,92572,kitara
12752,22437,11933,14582,12074,1264,10207,45598,kitara
26533,5543,11721,9555,11436,3698,904751,68243,kitara
90911,46332,19904,31249,27235,12661,690975,274344,kitara
33521,39961,49517,56627,19937,5112,241394,114011,kitara
11810,34416,21450,29173,22343,8430,764368,145334,kitara
70547,18924,13555,13524,11121,20692,1001351,37457,kitara
4177,1981,5178,3289,2130,1540,63498,17177,kitara
38777,52560,8902,22905,8927,6971,150089,149160,kitara
48075,31979,33176,27657,24972,14959,239847,207770,kitara
12640,5166,25269,23284,18811,10069,17540,73971,kitara
85592,22636,19803,51973,21351,18755,1128634,225919,kitara
17054,3774,8309,15286,6188,9840,2040179,70352,kitara
8582,15863,6635,17825,9036,12202,89522,11639,kitara
18662,5283,25747,30756,24445,13913,476802,111591,kitara
11012,18035,22635,21896,36331,4774,119218,3971,kitara
5759,6789,16459,10277,18301,8341,98243,35733,kitara
24606,34746,6562,4502,2190,1393,81150,82097,kitara
9433,19279,25371,11916,19769,4645,1047147,37638,kitara
9239,8432,14722,19724,13263,4306,37055,34164,kitara
301,15720,13343,15502,11737,3301,589745,277646,kitara
