@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {odprte,zaprte} 

@DATA



14333,27812,8875,16762,14458,4738,130027,230852,odprte
22972,24400,6685,14636,7383,5202,188228,158224,odprte
984,4759,3833,2187,2514,1514,50898,9844,odprte
8680,6075,1431,2498,974,2031,99846,12731,odprte
10273,8637,6626,5975,2729,2646,100277,68907,odprte
9263,6753,6373,7996,2728,3033,151015,80776,odprte
36701,1868,3791,6534,4669,2226,49127,139804,odprte
4290,4715,4410,1797,1676,1112,101626,83307,odprte
19203,12152,15825,13984,15820,6593,279253,183031,odprte
5712,7208,6316,5842,9376,3141,762430,19877,odprte
16494,30696,19074,5679,8638,4239,803171,74958,odprte
10448,8672,32095,22736,13303,8240,399135,120960,odprte
66128,11636,21376,9286,19790,3489,47474,90542,odprte
23554,26428,18008,12786,12116,4516,14494,35141,odprte
3949,7350,4389,11194,3677,4944,42036,29813,odprte
9993,3917,1809,1454,2051,841,72676,16267,odprte
23477,3262,4730,6135,4037,2400,585744,75542,odprte
18429,40986,16793,6494,2492,4201,993713,327725,odprte
11691,8156,9613,5876,4104,3889,133557,33642,odprte
14444,13471,3358,3068,4083,6565,410357,21983,odprte
21314,19909,15308,7898,3543,6831,96804,31830,odprte
1473,4362,2197,1303,5212,2944,91264,5897,odprte
4560,5295,2076,1176,1331,2375,126242,13619,odprte
22569,14385,24489,9980,9559,12710,59291,24008,odprte
18960,12909,4713,11564,3420,7142,109338,73973,odprte
15856,1796,3565,6586,3887,8672,9474,13951,odprte
2315,1258,3764,1179,2222,1010,110292,11407,odprte
21293,10490,2307,10488,4277,2975,67227,101680,odprte
37059,2986,9513,5269,5673,5626,23516,25552,odprte
2326,20089,12540,26861,10144,5769,687425,12974,odprte
50160,33879,66055,54239,43161,10501,472034,365515,odprte
9349,1489,4319,6816,6888,1681,767359,71962,odprte
10951,7130,18797,8333,13122,3159,14238,21482,zaprte
6328,29467,4114,13852,7219,1385,5703,12011,zaprte
15248,25143,10233,15985,24131,5686,122151,34199,zaprte
83542,94022,66738,29777,49556,11509,476379,72262,zaprte
20274,3334,2964,8744,4218,4908,6998,8765,zaprte
2963,14578,3250,4164,7656,4719,13388,56408,zaprte
27337,9500,11822,8073,4176,1748,39332,27898,zaprte
24173,23290,2742,5634,4247,1718,101090,54512,zaprte
25048,8140,1700,8181,5407,2236,40009,12487,zaprte
162642,70291,44108,6621,35080,9796,719999,124382,zaprte
64665,34967,8717,21271,30304,42798,1367405,503092,zaprte
21084,9190,6642,16613,17096,9025,215057,28519,zaprte
9555,19104,3387,7942,11670,4123,27027,14322,zaprte
54782,12370,6904,3269,5570,2584,146511,33660,zaprte
12923,36802,3555,11736,5301,2222,114767,26229,zaprte
19816,7902,4651,16158,8433,2759,68302,31283,zaprte
20709,42805,13549,9034,7226,1973,196171,142592,zaprte
4945,7154,7596,12144,9211,4578,118501,71174,zaprte
14216,4696,6789,7615,8255,3103,548770,72447,zaprte
29715,24362,13148,5518,5257,4049,72200,11523,zaprte
9168,11346,16032,5883,3620,4828,211403,12849,zaprte
8032,35922,2567,4517,5382,8470,147485,17803,zaprte
36571,11106,3621,5089,8291,4351,137039,39904,zaprte
30105,16569,6370,8086,5541,2816,68120,23609,zaprte
4688,19145,6678,9254,7387,3976,94412,19776,zaprte
20561,11532,7212,9422,6851,2128,167690,54931,zaprte
490,2125,3954,1870,1255,539,99129,12285,zaprte
50900,13817,14091,5522,5575,2694,54828,32704,zaprte
