@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA



20229,12216,6995,2913,2290,3062,38685,57354,Slika1
3898,13808,11548,4704,3201,3155,10756,37376,Slika1
28053,20069,13861,8796,3274,1316,101366,98520,Slika1
4988,13503,3024,6455,2282,1918,194847,81968,Slika1
30437,19115,13397,20728,9494,3939,145902,77935,Slika1
12757,13282,4303,5211,4122,1016,29430,50062,Slika1
47170,16063,8373,7808,3316,2626,126971,59321,Slika1
37808,12070,6092,6676,5870,1544,138432,45946,Slika1
17638,11832,10010,4541,3910,2075,165982,28011,Slika1
33314,4733,6907,8281,2306,3067,87464,73929,Slika1
20835,3591,14784,3607,2137,3064,83243,22508,Slika1
8850,5967,1217,3871,1902,1789,281312,34203,Slika1
52292,6029,7762,8537,4825,3825,17213,48477,Slika1
13241,14259,5356,4192,2261,2720,92659,77392,Slika1
7004,7131,6782,15399,5024,2823,94474,85728,Slika1
8070,9756,4635,5333,1931,930,119567,21280,Slika1
25965,25037,21164,7156,7860,2348,132100,51688,Slika1
2483,9606,7478,12761,2468,908,88124,46053,Slika1
16029,12640,3719,4843,2301,2282,212346,12901,Slika1
12993,15271,18906,17067,17764,3758,719050,136987,Slika1
11389,4352,6084,7134,1784,1194,59313,46213,Slika1
10802,14783,4557,5001,2000,1159,308197,52995,Slika1
5334,4137,3436,2527,1650,1501,78064,12109,Slika1
3061,6166,6685,2911,1829,1876,79920,19890,Slika1
3132,9184,4988,9188,1735,1646,35198,4424,Slika2
6929,1655,700,1282,415,820,63981,13373,Slika2
21698,19577,12672,5548,6245,4157,441283,180152,Slika2
4800,11407,9093,7687,6007,2143,17711,25508,Slika2
5353,8117,2590,5666,7068,1358,28384,13370,Slika2
5749,4722,2860,5573,6650,3494,9895,22292,Slika2
9161,8150,3646,4545,3839,1393,56556,26624,Slika2
8483,6422,6301,5048,4792,3282,464997,13399,Slika2
15225,3883,7253,19015,8152,1371,289005,102217,Slika2
1797,6228,22147,3877,9170,1846,10070,17639,Slika2
13975,7447,4832,6575,6138,1461,596737,99173,Slika2
18845,6803,3181,6838,2683,3143,33086,21641,Slika2
12982,7497,6345,4048,2037,2887,96035,103983,Slika2
3309,4080,601,1026,1791,852,49511,11781,Slika2
19227,13332,4717,6774,10323,3049,53664,171853,Slika2
10108,7686,1589,4105,2732,1075,34782,24621,Slika2
25509,3443,4632,6199,3650,1147,11868,50085,Slika2
4459,8234,1956,10719,5637,1967,413310,62258,Slika2
16848,4677,10899,4489,6659,2555,32518,96260,Slika2
1608,4158,6960,6110,3860,4772,10151,15098,Slika2
4532,8401,8486,3473,4876,3286,2635,19192,Slika2
8887,2782,7187,7166,1389,1087,136989,125905,Slika2
7442,4579,7098,3373,2770,1546,32608,25095,Slika2
20881,10910,2733,5954,3191,1260,27302,20850,Slika2
12426,7147,9110,5156,4648,2035,223648,23330,Slika2
21698,2817,7452,4682,5232,4416,13761,23068,Slika2
5077,32229,8513,10512,6995,3318,26899,10124,Slika2
12524,18467,6184,8067,3705,1643,292129,57828,Slika2
17913,6175,6492,7438,3563,2200,53234,86462,Slika2
1709,1421,1841,2073,776,330,214362,10206,Slika2
4778,15695,4665,6736,7134,1809,8942,25275,Slika2
13686,3162,1279,6315,3988,2228,7153,30233,Slika2
7732,2278,5109,5141,1120,1393,9112,7483,Slika2
9310,5845,7219,5659,8153,1778,18502,6305,Slika2
1852,9696,5364,7363,2987,1155,319549,46654,Slika2
11217,8185,5203,3006,2480,4947,12327,23767,Slika2
7132,17785,22746,8358,2430,2083,680705,25785,Slika2
3435,10776,4779,8381,1813,2304,10893,15905,Slika2
11250,16457,4210,4350,4034,2117,765,15206,Slika2
12069,62395,20885,9718,3372,2259,686622,43855,Slika2
1518,6746,6470,12653,3899,1979,47854,43254,Slika2
3855,14365,5539,12580,4321,1928,166866,31202,Slika2
633,2965,531,2938,1967,635,111487,3750,Slika2
1509,12608,9463,6715,2997,2609,5096,8775,Slika2
9610,7819,7949,12051,5063,2804,6497,14600,Slika2
4701,11001,9753,3658,6750,4027,140399,31414,Slika2
1755,3221,6148,11634,4565,1846,17551,3123,Slika2
30932,4183,4894,7657,4189,6194,144151,125971,Slika2
