@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



2803,8522,3215,14099,4612,1363,37299,71983,stanje0
2842,13129,4393,11901,5669,1753,21670,10525,stanje0
4189,2340,4404,4495,1823,1444,9478,32957,stanje0
16702,6340,3240,7487,2400,2217,11446,54015,stanje0
8053,11421,10482,10763,4606,2821,54542,22263,stanje0
30850,31504,35651,28643,14274,9774,660535,122900,stanje0
5487,13440,15680,26826,19626,8829,197321,37884,stanje0
15490,3773,15715,27150,14643,6935,27625,28271,stanje0
14104,5474,24997,18140,13001,9377,40079,7819,stanje0
7200,18466,21233,32287,9321,2370,22770,5921,stanje0
18929,15597,3118,11836,2048,1382,36470,19288,stanje1
13241,5333,8672,10007,4194,1531,23423,20869,stanje1
1175,13565,4073,13716,6132,2909,25708,12517,stanje1
45740,9408,11386,15587,12313,3605,106593,74204,stanje1
79314,35361,28968,13773,10787,5130,89025,147304,stanje1
51620,18698,10842,11565,14588,4682,1009715,173214,stanje1
3254,6127,7607,6865,3554,5273,38318,6469,stanje1
3003,17627,5714,10361,4427,2542,72397,39713,stanje1
13868,16707,9242,12072,6837,10097,8226,12161,stanje1
21095,12645,10311,12833,25614,3614,61904,117645,stanje1
14137,15875,14945,15898,8064,7251,330651,36634,stanje1
8728,10972,21446,11112,9653,4997,185445,20418,stanje1
8744,32281,14077,42647,17279,4405,391092,157534,stanje1
2696,6422,6101,6021,2831,529,143306,15424,stanje1
14740,10884,18700,13878,4349,9976,46310,16948,stanje1
12656,14520,10621,15662,14022,4735,29493,17147,stanje1
8652,25579,5176,12742,5125,7532,69735,60269,stanje1
35495,23976,12540,16692,15970,5555,75724,49868,stanje1
16922,17157,4927,9950,8912,1670,2353024,108208,stanje1
21672,9114,4675,14374,9659,5549,93403,24336,stanje1
2724,4830,3796,4566,8277,4816,106679,41986,stanje2
19364,3606,3350,3071,3149,1474,69985,49993,stanje2
11546,3881,8108,16599,18025,3654,7086,11565,stanje2
32758,31480,32025,13437,10217,10736,527265,88952,stanje2
6847,9284,15246,7318,9283,4057,30551,13113,stanje2
343836,92206,202955,154876,17021,3945,1954929,655458,stanje2
9886,3321,4215,3944,1560,1739,124911,15376,stanje2
5325,10575,7309,14814,5207,9013,132670,27755,stanje2
8778,7115,5575,1936,2091,741,338532,12171,stanje2
26357,7283,10290,5764,2313,2302,47523,63689,stanje2
14650,6444,7822,2785,6337,5004,126411,70306,stanje2
22980,14358,6427,6641,1729,3797,62259,34707,stanje2
6125,2494,7717,7735,4664,4304,13500,35011,stanje2
6674,6325,1626,7097,3187,6852,92769,55604,stanje2
2347,1541,2699,971,1416,1287,95236,11179,stanje2
16478,8537,8738,3560,3626,3039,347486,63987,stanje2
6066,7823,6227,7042,5135,5361,41284,16007,stanje2
8920,11794,9958,8066,2846,3624,29431,25566,stanje2
30071,27722,10989,11205,4942,6334,51227,42925,stanje2
42458,8505,6331,12573,4620,1203,19161,27334,stanje2
