@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



7941,2069,12357,9810,2317,3210,19713,15294,stanje0
3741,9327,6939,8751,4243,2114,186476,2433,stanje0
5816,5846,9510,6874,5389,2456,65091,140588,stanje0
11239,29276,11666,7358,6389,1167,164320,147712,stanje0
12734,6877,12062,6584,2637,2212,212122,29248,stanje0
9302,40382,31162,9914,5513,3695,1048858,217396,stanje1
10610,6435,13730,12951,11856,5691,584513,48664,stanje1
5710,13622,3047,2203,1360,688,216995,41177,stanje1
43831,44121,12964,35506,32888,8901,1857388,131985,stanje1
50446,14137,24620,26810,18762,3727,1559150,82091,stanje1
29166,89568,36813,48831,60535,10599,2125598,242037,stanje1
32325,22437,10466,8059,4313,6924,412184,76377,stanje1
46640,40325,41715,166881,123616,11078,2833703,612358,stanje1
355973,94524,46572,53252,20879,12858,667925,424406,stanje1
86274,64035,77516,48369,30085,6217,2207411,1041535,stanje1
6917,10409,17325,7161,8368,6499,1637628,86812,stanje1
37422,30041,66569,66881,13909,933,1915000,230753,stanje1
111053,86620,36221,44096,18760,6432,742092,353974,stanje1
30205,3273,4057,13871,916,1886,1631056,90976,stanje1
16168,11612,27687,7125,3511,2135,196127,131802,stanje1
42898,5269,15777,7670,2126,2630,305754,46448,stanje1
50109,50288,17523,23801,21195,2756,656310,416397,stanje1
76414,15752,22293,10412,7468,3591,888593,355950,stanje1
21607,42497,23047,40567,14150,3045,1318371,107490,stanje1
126587,54428,44352,21054,10612,11553,775089,270364,stanje1
28209,35091,32112,19955,7462,6179,544997,21147,stanje2
17402,1114,4341,5977,3275,1735,23940,47144,stanje2
17520,6048,5689,6555,4663,1925,542494,67907,stanje2
61012,26010,10523,10041,21283,6623,230853,338512,stanje2
51073,45070,15128,10404,11638,5868,1036859,223802,stanje2
50799,3336,8508,12046,5845,1999,112050,57002,stanje2
5453,14512,11270,4852,3474,4522,50359,22838,stanje2
16706,2224,3785,5099,9194,2070,640434,66661,stanje2
3535,6800,20650,11023,6701,5449,132639,800134,stanje2
64725,119721,57283,27529,25083,32338,1130659,384047,stanje2
4796,3990,1805,2000,1407,2796,694538,34869,stanje2
49123,18924,23557,15702,17561,4886,1215408,276859,stanje2
8682,5902,4476,3951,3408,3853,798298,78014,stanje2
25604,19158,22264,9494,44918,5506,543702,161959,stanje2
16957,19065,34457,9175,9685,16239,203858,132537,stanje2
237,1009,2047,3737,3201,2451,47377,8666,stanje2
13467,7499,12904,3151,2133,1106,155686,52481,stanje2
55234,11611,5935,21989,16752,10213,256558,139156,stanje2
2313,1843,4508,1133,694,713,236024,15033,stanje2
5713,8310,8094,2794,2241,1145,275783,32610,stanje2
