@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



94099,111506,27350,40774,20973,125549,739222,793252,stanje0
70108,28112,17351,13775,3522,62399,332884,85591,stanje0
10576,1973,3006,2609,729,6408,63816,6152,stanje0
73095,34272,8671,45377,11489,133191,681402,74651,stanje0
11124,26645,15453,15238,1212,27078,653691,106784,stanje0
14978,54549,11215,25068,4244,3687,2379937,39077,stanje1
11425,7354,12325,9114,1823,1173,1294796,35481,stanje1
39898,26526,24095,15482,11961,5597,834402,170669,stanje1
4380,5635,6645,4934,2229,5024,354365,29038,stanje1
4695,4776,1959,887,1101,232,1408910,15573,stanje1
4494,19245,3608,4122,2696,703,999820,135293,stanje1
5054,9161,2344,3303,1722,2141,224700,18343,stanje1
1054,30921,26596,31003,15801,7126,696561,87008,stanje1
15475,6693,12164,6409,1321,2162,1100172,24570,stanje1
14415,17936,15089,7180,3926,2536,1572029,35879,stanje1
38147,19399,22871,26263,8373,14814,1685715,327945,stanje1
24154,15935,5309,7745,1594,2240,156655,15291,stanje1
12635,20003,24411,12120,6034,2786,604197,192156,stanje1
61968,31220,42538,19180,10964,4195,2111613,80893,stanje1
43392,136753,42694,32010,42166,7116,745433,64211,stanje1
17829,5544,5386,10334,5030,2256,1236733,57677,stanje1
21082,5524,25832,4966,6503,2255,673866,16607,stanje1
23263,5881,16916,6949,3194,1696,446924,59350,stanje1
19331,32063,45547,22990,26902,10715,1006278,285246,stanje1
37905,75848,22889,80478,10608,8085,586960,260283,stanje1
9303,2882,10570,3500,2222,950,394092,57687,stanje2
2354,13456,10786,2654,3085,1293,1331843,74691,stanje2
7731,2533,5436,4740,2296,1021,675452,28905,stanje2
22764,12656,12436,8420,4465,2657,2488204,105568,stanje2
8945,6631,2723,2180,2329,676,494664,34919,stanje2
26618,21672,11637,10022,4826,2674,1531191,131178,stanje2
8888,4432,2816,788,1230,720,298832,30812,stanje2
1345,8004,2814,7087,3164,1878,325729,17265,stanje2
12241,25746,78973,32241,9708,9954,564790,187803,stanje2
51078,17835,18297,28236,16866,6944,813149,68733,stanje2
7348,3496,6032,7319,2920,2586,408802,39935,stanje2
13088,7173,7973,15712,7871,7353,252754,106922,stanje2
44100,16817,29555,12579,6627,6803,450729,108439,stanje2
4760,4462,2913,3937,1221,1910,235834,43582,stanje2
41231,25658,9531,5642,5778,6070,995535,285864,stanje2
4992,10621,5328,6163,3660,1306,958602,7778,stanje2
14422,6861,3366,5946,2300,2171,246578,59413,stanje2
21674,22705,28849,8063,10045,4776,2546456,177608,stanje2
4689,5558,2889,4536,3250,1116,537220,26412,stanje2
85162,47421,51656,20678,6237,7127,1010852,886198,stanje2
