@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



5151,6324,2956,2444,1664,1831,184454,30126,stanje0
33351,8184,6899,8216,3663,1195,1270695,39739,stanje0
7846,15567,4800,3808,2131,792,420408,54062,stanje0
6916,17851,2999,2116,3220,934,810378,72250,stanje0
11194,22666,14391,26179,6330,2446,566217,34486,stanje0
5840,8512,11030,9786,3033,3856,5561,14169,stanje1
34615,26380,4419,3536,8041,2778,50021,47647,stanje1
3434,10352,8550,7594,3221,2276,19303,6870,stanje1
14855,8418,8161,4607,4730,1923,3207,6646,stanje1
1776,10345,6989,10840,3430,4043,3776,10394,stanje1
5351,7333,6604,6030,5211,1673,6638,12963,stanje1
7201,7931,3914,6936,4875,1775,9089,4880,stanje1
23210,6631,6515,9334,4276,2036,7856,18233,stanje1
16929,6469,1909,7409,2765,1147,50232,18004,stanje1
19013,3553,6807,12108,5180,8013,599091,40322,stanje1
10343,14929,11397,12501,2789,1444,163803,35464,stanje1
7095,6639,11095,5410,3750,4503,220522,110103,stanje1
35802,10857,14585,6687,3517,1762,462670,76759,stanje1
11975,1700,13495,14280,3541,2728,15446,11777,stanje1
8635,1043,14047,23014,4953,4304,13720,15521,stanje1
20037,10533,3122,2602,1661,550,201470,57386,stanje1
22709,19340,15625,12688,5403,1588,151752,24787,stanje1
52516,14864,9491,12511,4809,2159,4877,106275,stanje1
20990,2694,2205,1815,1016,573,295173,45088,stanje1
19872,3565,30017,9472,1832,927,76100,25336,stanje1
2270,8123,9024,12789,4025,5206,13631,7262,stanje2
99636,10703,10160,10748,4438,4687,176908,305052,stanje2
11914,26065,6971,6401,10279,3494,8331,29260,stanje2
3660,5234,4590,6291,4513,2266,5349,19412,stanje2
25019,14975,4619,4424,13748,2157,47181,6964,stanje2
6319,3481,2044,5136,1502,609,111114,80593,stanje2
9529,12643,15766,10256,3008,3609,27327,29589,stanje2
5837,9811,9411,11541,6015,2225,159488,32017,stanje2
6292,2487,6402,5296,6892,4790,6714,17502,stanje2
6244,6330,1913,2838,960,580,85151,2454,stanje2
9075,9500,7428,13320,7515,2318,96922,39985,stanje2
17323,27027,12059,10572,8874,3371,12738,11399,stanje2
440037,6014,17481,39117,27128,4184,1926181,228258,stanje2
8543,17795,3406,11053,14423,3803,1466225,127018,stanje2
36163,6718,21479,33119,37563,10726,1347088,124376,stanje2
12006,5539,4300,7248,5384,4097,159634,42744,stanje2
6020,4775,8446,5803,6812,5005,312598,64412,stanje2
45833,4118,6821,15203,31534,42841,745146,638841,stanje2
17967,18829,12548,7115,2997,1509,109485,15912,stanje2
10641,8058,6428,15913,21532,7757,19411,23599,stanje2
