@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



38825,133718,35812,40046,18175,41716,890566,511278,stanje0
35448,10221,3981,13356,962,11521,156461,13119,stanje0
7549,2438,1591,1961,360,2281,69265,17185,stanje0
3597,8962,2454,3048,260,2038,361882,17448,stanje0
6765,11409,2057,1980,451,1329,57767,29102,stanje0
22854,10403,13081,6413,3780,11868,544759,65205,stanje1
56743,45205,22114,26910,3895,41405,1636764,247312,stanje1
26963,26716,6128,6020,3405,9732,701755,32445,stanje1
6519,2331,825,1841,177,2036,99832,16762,stanje1
4708,13356,13264,4186,798,6873,352318,171193,stanje1
77960,87690,58554,23756,4018,27288,1110322,542540,stanje1
7152,22550,1787,7384,8653,4794,592139,138807,stanje1
15771,96479,21933,28503,2845,31314,1188760,123482,stanje1
46917,20979,32993,6471,3651,20111,2414795,176742,stanje1
4372,16995,4176,2721,1133,3856,723514,30686,stanje1
18264,33288,12331,21554,2790,18101,586268,30170,stanje1
7360,4852,8968,3574,1350,4436,160864,25440,stanje1
8857,4596,6787,9678,1983,4714,211428,32906,stanje1
36985,70231,34791,14729,4257,24763,1746507,93729,stanje1
13569,5804,8745,5281,2312,8895,215061,46175,stanje1
12564,19804,38345,23273,6664,20664,1835850,165612,stanje1
104375,30958,30864,15666,10804,21339,866557,212230,stanje1
13320,6508,10000,3475,2012,5017,82457,32501,stanje1
3637,9599,3311,4205,728,4969,148167,13742,stanje1
21286,7109,4678,4212,738,3814,217043,11753,stanje1
8471,9851,3976,3090,1382,3694,200615,55201,stanje2
14903,1651,5975,2290,1146,3046,141693,47926,stanje2
140520,26261,13464,12322,9208,8512,1008163,101993,stanje2
9084,7911,2591,1334,1748,3756,115083,24942,stanje2
466897,206338,156669,44446,29307,61285,2955196,1797816,stanje2
9179,5931,6428,2204,2202,4117,404452,31759,stanje2
143662,118542,87184,29069,13212,55590,1428504,444619,stanje2
34260,25984,15890,6103,5701,16093,620419,94874,stanje2
31042,159275,41751,15826,13194,64644,1402621,245837,stanje2
4606,2297,4179,2341,1982,5168,276927,44222,stanje2
4010,9604,5017,3045,1793,3754,111912,80291,stanje2
20511,8597,613,2466,901,4625,58280,64879,stanje2
50359,12710,20440,10863,5890,16016,707753,118633,stanje2
9425,10693,3414,4379,3364,3363,82783,53747,stanje2
188125,334595,105120,54596,35850,58058,308728,1379606,stanje2
8367,22850,3052,3016,1673,4654,164154,27806,stanje2
1617,743,596,912,211,1067,84468,8080,stanje2
16052,10432,4457,3902,1415,3302,185951,34856,stanje2
27632,33966,6043,10721,2331,19120,199651,202401,stanje2
45355,29266,11893,14123,2842,13774,729977,95914,stanje2
