@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



24905,40599,45280,29932,36805,7052,2103317,358996,stanje0
6508,4624,6751,6326,2339,1125,61051,29444,stanje0
13081,24101,2651,12368,3536,2717,15544,10405,stanje0
63088,5517,23533,13631,10830,3728,434991,94567,stanje0
7665,26755,18041,30198,12718,2570,679619,63538,stanje0
27374,37641,31927,26325,29156,3494,978178,127947,stanje1
19069,21328,41053,23937,21552,4193,2148104,76339,stanje1
34273,20060,39266,29547,20910,11036,442849,81069,stanje1
19108,12094,12462,17931,20783,19801,358734,209020,stanje1
41774,22653,31335,38041,17223,6120,1382344,110692,stanje1
30752,15917,16247,10886,11087,4835,116119,37762,stanje1
9448,11680,11291,13221,7064,3867,43240,34460,stanje1
27589,35400,16973,12267,12095,4818,281134,215921,stanje1
13725,1958,10758,6491,2419,868,98784,47106,stanje1
31836,13466,7705,27522,3556,9254,46060,21010,stanje1
30589,35447,14807,22157,6650,2059,97838,33812,stanje1
10453,8046,1120,5684,7780,1796,27402,12948,stanje1
5066,11163,9644,10824,1957,4759,31425,13136,stanje1
9950,9007,7415,7935,6599,1947,162824,176099,stanje1
5190,6265,4635,5735,2481,3266,49300,10110,stanje1
6402,6567,5614,4605,2957,1765,18502,8177,stanje1
6707,33124,4641,5336,5143,1692,54489,29395,stanje1
34481,13556,41970,16374,5005,3588,276140,30021,stanje1
11730,15963,11204,5198,4897,1325,63031,103921,stanje1
12710,26272,14800,5797,9822,3029,89500,42627,stanje1
39728,28549,30882,7668,8302,3621,446114,261898,stanje2
39159,58959,15428,15274,19507,4006,342781,136259,stanje2
108587,42980,22860,26847,18168,20966,516871,326228,stanje2
3846,4234,2229,4775,1609,2327,187242,4126,stanje2
2154,6112,7014,8548,6514,7348,80358,107315,stanje2
24042,16235,6223,6916,5060,5838,7947,22589,stanje2
23450,19234,12727,11779,7000,3381,463867,253797,stanje2
14317,11715,12847,9032,3899,2449,89020,39610,stanje2
47409,220477,55885,24949,15168,6238,1993390,950124,stanje2
13662,11408,9017,12138,31565,3850,274186,43761,stanje2
10430,5179,4959,14276,5546,2923,237013,17392,stanje2
105822,10121,15634,14586,18886,17893,728867,310902,stanje2
4231,15010,34039,52014,37754,8033,1083704,316341,stanje2
18481,4086,3126,7135,2384,5023,200292,76341,stanje2
23206,8582,17488,17660,24884,11580,564722,95420,stanje2
16887,3691,2949,18019,2734,2317,238537,55626,stanje2
1682,7523,11581,25247,19166,15484,322216,91884,stanje2
15255,13484,32580,11812,19945,14982,361310,92064,stanje2
2815,6991,1334,2144,5276,3867,201241,37317,stanje2
4519,14741,14598,14486,18946,3737,346642,42032,stanje2
