@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



43763,54907,26956,60892,11435,4693,1919677,169012,stanje0
115152,29084,46061,19328,14210,3813,1342371,133684,stanje0
38206,34393,37343,17774,13304,3927,691869,311293,stanje0
30907,12224,57402,33441,13952,12734,728558,656723,stanje0
124347,10965,35518,34142,7808,1914,1803738,116519,stanje0
43543,18157,13129,22560,15614,2965,1776264,28063,stanje1
1103,3900,2708,4179,1825,733,105699,7502,stanje1
17210,12374,20499,11373,5214,3733,79730,147665,stanje1
8598,25079,27223,11821,5702,5198,374499,63220,stanje1
28979,10307,2498,13912,8359,3694,163225,532782,stanje1
38450,30213,3470,11740,19268,3705,722016,29360,stanje1
9339,8363,20898,12883,14020,1660,282448,61087,stanje1
17028,15995,12662,15873,7077,4554,446885,41066,stanje1
4906,5897,6548,5284,3287,2418,661166,32163,stanje1
73852,9353,33676,21865,7610,4566,202707,48849,stanje1
35113,20903,48543,10713,9019,4973,2550101,233994,stanje1
49086,11269,6161,10610,6274,4391,759669,187791,stanje1
3903,29534,9560,7868,7160,6463,75170,83562,stanje1
1788,6439,6334,2432,847,1437,99452,21639,stanje1
17173,7607,7366,3055,4718,2535,177306,101801,stanje1
45679,28731,23495,12833,14246,4178,667394,26628,stanje1
38400,21962,25791,15545,12523,4128,579778,119162,stanje1
3597,4909,1367,2831,1590,783,120576,16470,stanje1
1795,719,4774,5168,2096,990,144380,17538,stanje1
4314,3902,1719,1665,3072,1826,57424,19719,stanje1
14890,10313,2712,16048,7448,2313,14744,19232,stanje2
2639,3352,4941,2971,3190,561,93906,4507,stanje2
30573,10703,8513,15114,6418,1296,127985,83094,stanje2
11505,2407,12127,7645,9075,6175,21940,7996,stanje2
8808,5730,11031,7483,12238,2423,6118,7434,stanje2
5659,46763,23563,15222,12207,3198,168248,37346,stanje2
8520,26399,4219,11937,9454,4617,1310700,59758,stanje2
13219,11434,6846,2860,2349,754,178804,64759,stanje2
22642,6828,9531,11756,7313,4193,63645,77649,stanje2
27577,7097,3537,2492,3096,679,184924,72096,stanje2
2447,4025,4802,4953,6703,1098,48744,18376,stanje2
5184,8747,9926,7952,4107,1906,6388,7734,stanje2
2672,15091,14173,4892,3825,2993,29519,48503,stanje2
19170,17210,38779,20552,13027,2224,223945,163847,stanje2
3897,12594,13420,5639,6490,1967,12053,11750,stanje2
13972,2920,14707,8043,7572,1608,28769,22578,stanje2
3434,2752,1020,3187,2350,354,108028,5517,stanje2
4944,836,13767,7834,5106,1886,32087,9448,stanje2
16922,3340,11225,9047,6146,3932,953555,41538,stanje2
4078,11964,6465,11067,2282,6657,5452,14159,stanje2
