@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



24900,43283,55038,83577,44002,12229,1391132,159625,stanje0
15128,32583,13902,33925,11923,6749,1083859,84578,stanje0
18781,34862,68808,31271,24274,8415,1131349,26442,stanje0
16688,2437,3758,4807,3047,1558,210251,17976,stanje0
26736,18834,47221,21926,56154,4814,1410315,77826,stanje0
51785,22913,17773,6093,10078,3418,344113,134182,stanje1
42777,11381,12885,32122,35666,17614,367847,122233,stanje1
62407,16858,8405,9451,27091,7436,593026,318179,stanje1
28753,12482,4441,18436,25050,9402,479588,26082,stanje1
47187,21230,18439,26984,9233,3072,903253,219764,stanje1
427,11309,2573,4841,2744,1503,94933,12215,stanje1
16965,21655,19542,9479,3276,3257,561604,86711,stanje1
6974,7842,5687,12670,10223,1269,52412,12846,stanje1
6270,6598,9139,6546,9690,3979,37323,43117,stanje1
17282,10104,8863,6286,9802,8019,51155,5844,stanje1
17540,2357,4892,11237,7920,3038,27434,10392,stanje1
1937,3977,3631,11678,6032,3106,51546,24657,stanje1
14291,13090,3542,8198,3343,3655,55224,11259,stanje1
884,2270,1400,1797,689,173,129026,17871,stanje1
25212,1442,3483,2343,1426,341,83807,55811,stanje1
6692,11924,5546,6527,5368,4219,34870,8178,stanje1
6535,10254,14436,8437,10281,3016,21340,21999,stanje1
6730,8794,12845,7924,5766,5262,7973,25917,stanje1
20682,5357,8085,12252,6160,4229,164402,28697,stanje1
1533,7313,4062,9925,4721,4956,61331,24609,stanje1
13827,18597,10493,10468,9686,1898,43272,27076,stanje2
3060,3999,3681,4447,16180,3036,58544,19477,stanje2
17349,8729,9578,5386,3212,2090,54856,45380,stanje2
3937,3608,6848,15266,7155,5675,26978,1391,stanje2
6523,5237,17023,5728,6518,5181,59923,70122,stanje2
3972,3773,6221,3570,1212,837,138057,31122,stanje2
39462,15408,41490,12108,5812,10170,165756,64099,stanje2
1699,18661,13875,15513,3197,1925,46611,28507,stanje2
15701,14849,17085,14476,8448,3948,510431,167178,stanje2
9671,5202,10218,11622,2876,1996,59351,24188,stanje2
22233,29322,8509,14605,19486,5766,340039,103345,stanje2
23816,29081,13012,10285,7897,6255,66758,32509,stanje2
4122,10652,2611,6680,8032,4036,13770,6923,stanje2
8262,8609,6497,14859,10507,3550,147040,41429,stanje2
62537,5609,8297,4369,8486,2474,238736,154289,stanje2
19275,17660,10015,7109,9171,5332,111101,69515,stanje2
23730,24844,10739,13548,10838,2471,55394,93732,stanje2
11071,12815,7738,2728,4164,2879,349937,32382,stanje2
10194,10824,23620,16480,5955,1664,587275,35295,stanje2
8945,6642,20113,19119,11615,8335,226454,108790,stanje2
