@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



4188,9224,2105,4079,7190,3385,131423,41557,stanje0
32077,8258,5484,5255,1916,2066,550319,18211,stanje0
79766,23007,10706,41555,28238,8860,1520052,129515,stanje0
2947,2170,4848,5597,2939,3159,200541,5582,stanje0
25925,7889,14428,14126,7151,14833,543549,154956,stanje0
3307,4236,2469,2041,1032,918,10667,10398,stanje1
12101,7677,13421,12531,2967,8516,272888,45619,stanje1
13124,7252,6519,10467,10115,3698,1384890,66123,stanje1
10467,6509,10474,11958,4071,6018,703023,113097,stanje1
1430,2647,7127,2696,665,678,58129,22578,stanje1
35971,16607,14145,12228,2796,3356,172184,13014,stanje1
24630,14448,17747,12253,1756,3146,1818877,49518,stanje1
11293,8231,8529,5562,6734,3020,268225,49988,stanje1
21019,10521,6470,4613,3087,3606,667111,104869,stanje1
8665,7923,3401,7715,1447,4192,580071,21473,stanje1
13343,4490,1108,1680,1585,646,152975,95303,stanje1
32964,15483,8516,7716,2971,2940,132731,25462,stanje1
36840,15177,20760,14019,4245,2360,744494,53466,stanje1
17712,6667,7498,4425,3714,3213,133269,29122,stanje1
15768,9612,11409,7529,2126,2194,216890,25573,stanje1
7951,3731,6478,2457,700,1059,318767,10863,stanje1
4788,32515,11115,13685,2918,2980,222705,54137,stanje1
16688,12462,4130,3565,4245,2110,410223,44402,stanje1
10127,3718,8589,6915,3084,2284,273710,175623,stanje1
11027,8033,2674,6558,3084,1744,433748,77625,stanje1
22629,10643,10995,5101,7439,3203,382844,20061,stanje2
13879,5870,13183,13750,4581,4346,115561,77889,stanje2
18437,16843,8420,5097,4257,3011,209510,31119,stanje2
15520,2408,11063,15916,7563,5135,350111,53094,stanje2
5588,12367,5183,9962,3450,1980,26689,77818,stanje2
13477,3116,11992,14263,3763,1659,226084,102048,stanje2
4198,2603,7508,7630,6965,1433,51095,57949,stanje2
11127,13904,7786,21900,5977,5517,28106,49001,stanje2
30495,8686,21743,8472,4901,4271,57070,39272,stanje2
73975,55456,5653,20104,7277,7103,110484,156933,stanje2
2791,15868,11141,5320,1782,2609,16228,10893,stanje2
10879,6637,20792,13838,3224,1932,144252,17527,stanje2
3902,16889,8721,9594,11583,4001,135481,41159,stanje2
34998,7744,29784,14026,3425,4060,2052016,240354,stanje2
11076,16074,8211,14873,4801,1944,100926,63417,stanje2
12896,10136,5377,4035,1186,2803,36322,18558,stanje2
12911,16366,5080,2911,2815,2579,58152,38832,stanje2
23712,13662,10622,7817,5525,3103,192692,80449,stanje2
8295,9693,8576,5742,3247,1788,102807,26766,stanje2
32721,29555,18954,9735,8962,2474,578655,52190,stanje2
