@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



4080,2897,3456,2521,3440,2021,99069,17751,stanje0
28708,11511,8454,15076,7728,4764,110365,9064,stanje0
35541,10262,11034,11316,9056,7882,219150,65076,stanje0
24841,13096,15191,8121,18151,8219,364823,72846,stanje0
13290,2271,3875,2770,945,2504,86778,47822,stanje0
2080,3588,3172,4475,2214,2027,113823,38615,stanje1
43254,26059,27743,13173,9382,3611,578724,116863,stanje1
14715,6821,13030,6313,7938,13971,79251,69374,stanje1
13040,20814,3422,4636,5510,2165,256149,29471,stanje1
8758,14915,12446,10639,10384,3534,218896,22687,stanje1
34127,51586,14049,8490,4833,3471,1239467,268823,stanje1
10608,44481,29166,10017,17055,2718,217751,81168,stanje1
11655,14338,3305,3691,2341,908,349800,130875,stanje1
35710,28288,17112,10562,9094,4607,141471,163412,stanje1
23187,11098,5705,6265,2663,2848,432953,126433,stanje1
9398,19517,3983,4632,1403,305,122821,44272,stanje1
23344,33202,25604,11751,12803,5063,255882,443674,stanje1
36055,57284,26875,21419,4003,4434,131413,123414,stanje1
1075,4181,8280,5785,4163,1671,9706,9514,stanje1
8908,8770,8000,6715,3146,1419,10695,8608,stanje1
110391,8709,10869,27486,12199,12665,790856,499773,stanje1
26684,8219,6015,7673,2646,1926,135683,67375,stanje1
8042,1733,6589,3579,7177,1678,537757,133081,stanje1
20891,17581,8254,11347,4162,1909,947230,100024,stanje1
10668,16109,22617,30320,15602,4821,917464,141794,stanje1
16089,1569,4443,2140,791,502,85172,13211,stanje2
26877,30571,22700,6410,3988,866,111026,53009,stanje2
8079,9631,9886,11422,2520,2769,112631,92444,stanje2
10804,7900,3314,3644,9369,1642,20905,13966,stanje2
10889,2789,11426,15844,4019,3537,8910,31541,stanje2
1472,1397,1718,752,397,214,569045,23396,stanje2
52288,46332,33291,12565,6712,2989,1263442,208283,stanje2
38845,44619,60365,20665,11359,7205,1631605,228293,stanje2
32537,16687,33178,34930,51471,21920,961151,33094,stanje2
139029,17344,46424,37581,53459,11867,1485134,528691,stanje2
40666,13318,5188,12546,5507,3656,1718244,143687,stanje2
4541,5232,3857,8243,5866,4901,156071,19155,stanje2
10658,32719,6200,21907,30028,7103,549220,31735,stanje2
6837,5475,6266,8846,4634,1353,42518,24955,stanje2
13115,17787,23193,10214,10101,7765,128486,28344,stanje2
11677,7352,5815,12861,6588,2701,23789,9675,stanje2
22147,9323,14022,10972,6506,3554,249279,73599,stanje2
12104,6754,12192,4233,2064,1175,118330,31024,stanje2
9934,20228,14902,31299,12741,2194,796680,148450,stanje2
1115,1174,2462,4232,3576,693,117118,25398,stanje2
