@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA



15290,5567,13964,34484,18711,10877,402361,28166,Slika3
8580,27433,22626,16231,29063,33102,108635,60739,Slika3
16316,13135,8276,16678,15949,4022,53213,31894,Slika3
19994,15671,29930,51443,15183,3082,135961,190396,Slika3
18458,3154,13120,14202,3272,5260,12859,14779,Slika3
5016,7190,15933,19853,5926,5696,75876,39771,Slika3
9423,14357,14636,12156,16008,12797,19918,27102,Slika3
15250,8215,11141,13925,9577,2427,61316,7729,Slika3
17544,11132,6748,11948,4342,4037,13120,29967,Slika3
12554,17889,8548,11688,4280,2829,37887,17948,Slika3
3937,16829,13844,9524,7152,3612,505580,31302,Slika3
29784,13845,17160,19523,10606,4906,16840,13002,Slika3
9321,14785,5591,15214,12525,16722,433165,53202,Slika3
17715,6972,15319,9289,3599,3389,33419,22766,Slika3
7858,34353,9138,10021,11018,5576,7698,9926,Slika3
68612,7284,18820,9664,31907,4802,70330,20929,Slika3
21823,3408,15974,18322,7152,9741,1110,18946,Slika3
14000,5923,10375,16983,7855,5640,23458,40854,Slika3
2697,24187,10321,16280,5048,6067,15007,25072,Slika3
2383,5191,8603,27833,6650,4470,39209,33084,Slika3
9219,4223,11267,9105,8936,2321,19003,15492,Slika3
11900,16214,3780,6772,6060,13463,14755,24963,Slika2
45384,2274,4999,8556,3208,10072,251402,21187,Slika2
18113,10140,15490,7881,11320,18548,456943,187875,Slika2
17717,40480,69175,129076,20579,17560,1858078,70278,Slika2
49997,33940,29260,32443,50238,8730,1406609,413548,Slika2
151271,74026,72651,47067,33939,29351,2126310,211760,Slika2
18113,11549,6030,5712,2138,6476,559709,61944,Slika2
40244,5682,52739,25516,4271,19006,280494,120356,Slika2
17026,14406,9110,6308,7039,14409,15277,57583,Slika2
6723,1820,6850,14950,17836,11682,4581,4216,Slika2
52538,33925,23529,11149,8329,17088,73345,175865,Slika2
10078,8393,10598,11306,9728,7911,71615,32698,Slika2
5281,23638,19457,4026,5078,18389,53973,24161,Slika2
15778,4574,19058,2755,3066,16514,208942,12695,Slika2
5987,8978,19328,3564,5745,21504,502371,29269,Slika2
827,3340,5238,2424,1120,4059,73266,7894,Slika2
21227,12212,9219,4475,3489,8299,26743,64724,Slika2
9823,1462,762,1012,391,4040,55067,20580,Slika2
4231,3930,6816,3296,1989,13774,45621,16347,Slika2
21422,12157,10603,2480,2510,18988,69952,93479,Slika2
13242,982,1397,1390,542,5896,83294,11930,Slika2
21244,14197,5543,4932,3717,22859,28489,52499,Slika2
2037,11706,8279,14431,3075,22733,225297,30480,Slika2
8366,8901,933,3237,2770,5760,83397,18639,Slika2
12884,8749,1923,9636,4735,19905,10002,18994,Slika2
15413,11196,10590,9023,5415,22690,57054,15391,Slika2
6325,5011,7165,7335,4132,16260,27450,15347,Slika2
20180,3305,8058,5728,4768,12681,3593,10679,Slika2
41628,4494,18792,6598,2817,21172,97140,69255,Slika2
1665,1585,892,2069,3274,2887,66089,15358,Slika2
5821,12209,7141,12776,6988,11503,217632,31962,Slika2
7815,10836,9661,10628,6051,17968,34930,9357,Slika2
4899,5867,9341,5310,2207,17935,75243,40552,Slika2
14685,10027,4969,1644,1438,3934,161865,49229,Slika2
22626,4811,15920,5033,3356,13447,15696,10912,Slika2
9756,8071,11068,8061,5239,18669,15532,17309,Slika2
