@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {stanje0,stanje1,stanje2} 

@DATA



1754,1776,2629,2544,897,2717,78634,15796,stanje0
32580,10336,7368,11356,4119,14237,914563,298322,stanje0
8856,6822,3365,5370,2950,20541,152072,14425,stanje0
7450,10630,2110,3367,3684,18221,6759,8827,stanje0
10457,27595,5788,2931,3787,25627,623800,47886,stanje0
3512,4566,7265,3271,975,20916,22304,11247,stanje1
14494,19504,8621,16761,4094,25384,243200,149664,stanje1
29111,9050,3506,6596,2661,4488,386241,58987,stanje1
1100,1521,1441,742,577,4988,93457,4364,stanje1
10081,24250,7164,4946,2386,21062,361611,22160,stanje1
15881,16389,1838,7582,1125,4557,208801,27358,stanje1
15222,14931,23037,10054,10590,23881,1186034,116083,stanje1
15192,3526,5104,1159,542,4138,157749,57277,stanje1
276128,67063,111768,214269,36739,52050,135570,448458,stanje1
2429,6052,3946,2267,487,1364,265193,30415,stanje1
5500,852,5692,2382,1050,2543,59053,73400,stanje1
7703,17025,12190,15417,7505,8857,1032221,451609,stanje1
21516,27926,13174,37273,4751,10414,376434,224467,stanje1
29533,2790,8191,3079,1882,1768,179450,47283,stanje1
344585,253479,106713,48243,41121,36460,516184,1276411,stanje1
104610,56700,58947,32192,8896,22293,1788706,2085026,stanje1
75848,25312,11894,17152,2931,8945,474861,296913,stanje1
56292,47868,21359,12121,7512,5328,773066,164808,stanje1
35693,7424,26040,15161,5598,9494,763869,110751,stanje1
23486,28793,21649,16759,7061,6044,586576,132715,stanje1
3058,12124,4505,3505,1692,2622,152156,42121,stanje2
3453,17779,8180,4879,1935,1409,358910,100666,stanje2
3115,1071,1444,959,288,652,30216,16544,stanje2
18641,56672,7786,16502,3110,10905,1310973,47916,stanje2
8877,7316,2226,2458,800,1347,241899,48836,stanje2
490323,75903,72252,46549,20592,30990,1969551,455628,stanje2
12823,5575,3356,2213,628,1813,142355,26972,stanje2
13132,8922,12409,6238,2290,12674,1043595,64472,stanje2
31477,46130,24100,8160,2406,11301,980130,151264,stanje2
108022,32710,15450,12114,2678,9736,543080,167506,stanje2
25129,11052,15515,18676,7332,12478,1925950,255575,stanje2
12338,951,3501,2068,670,1676,297409,19976,stanje2
69656,4675,16400,12548,1655,8768,518360,263974,stanje2
20820,26643,9444,2939,6098,7969,752110,84613,stanje2
47312,6163,6796,2024,1360,7572,674362,130525,stanje2
15886,24948,6609,8197,3692,8371,488671,160316,stanje2
14903,4117,6980,3355,1553,1543,69913,19240,stanje2
8641,12000,1951,4023,2212,2757,222345,57988,stanje2
45515,12584,13674,10371,3554,7572,252454,99972,stanje2
116222,173161,57842,51077,33214,20720,824827,952611,stanje2
